Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,MCD,MCD,MCD,MCD,MCD,,,
2021-01-04,2021,1,4,Monday,01,2021-01,190.28,190.49,184.72,186.5,4055400,0.0,186.5,186.5
2021-01-05,2021,1,5,Tuesday,01,2021-01,186.46,188.03,185.96,187.61,2576100,0.005993692451969679,187.055,187.055
2021-01-06,2021,1,6,Wednesday,01,2021-01,187.45,187.82,185.44,187.19,3083400,-0.0022697036087693245,187.1,187.1
2021-01-07,2021,1,7,Thursday,01,2021-01,189.16,189.16,186.8,188.06,3142000,0.004644699899270632,187.34,187.34
2021-01-08,2021,1,8,Friday,01,2021-01,188.87,191.73,188.28,191.51,2639100,0.018350749847255488,188.174,188.174
2021-01-11,2021,1,11,Monday,02,2021-02,190.82,191.73,189.07,190.05,2545400,-0.007597360906673178,188.48666666666668,188.48666666666668
2021-01-12,2021,1,12,Tuesday,02,2021-02,189.57,190.14,187.13,187.72,2952000,-0.012276358652148822,188.37714285714287,188.37714285714287
2021-01-13,2021,1,13,Wednesday,02,2021-02,187.11,189.08,187.1,188.15,2069800,0.0023155614311856088,188.34875,188.34875
2021-01-14,2021,1,14,Thursday,02,2021-02,188.16,188.67,184.53,184.97,3666700,-0.016926659791257737,187.97333333333333,187.97333333333333
2021-01-15,2021,1,15,Friday,02,2021-02,184.5,186.92,184.01,186.22,3593700,0.0067624789002507235,187.798,187.798
2021-01-19,2021,1,19,Tuesday,03,2021-03,186.9,187.19,184.42,185.49,3331600,-0.003906373549080522,187.58818181818185,187.58818181818185
2021-01-20,2021,1,20,Wednesday,03,2021-03,186.43,190.21,185.97,189.52,4077700,0.02171310388760439,187.7491666666667,187.7491666666667
2021-01-21,2021,1,21,Thursday,03,2021-03,189.9,191.59,189.25,189.43,2674900,-0.00046809939648673193,187.87846153846155,187.87846153846155
2021-01-22,2021,1,22,Friday,03,2021-03,188.53,189.97,187.34,189.3,2196400,-0.0007023973740648559,187.98000000000002,187.98000000000002
2021-01-25,2021,1,25,Monday,04,2021-04,188.27,189.89,186.8,189.26,2615300,-0.00018741075318573497,188.17714285714285,188.06533333333334
2021-01-26,2021,1,26,Tuesday,04,2021-04,188.53,191.19,188.23,191.07,2907800,0.009562158667094423,188.42428571428573,188.253125
2021-01-27,2021,1,27,Wednesday,04,2021-04,188.42,189.1,183.64,183.64,5464000,-0.03890798610625856,188.17071428571427,187.98176470588237
2021-01-28,2021,1,28,Thursday,04,2021-04,185.09,186.62,181.98,183.48,5401600,-0.0008695491771812947,187.84357142857144,187.73166666666668
2021-01-29,2021,1,29,Friday,04,2021-04,181.96,185.77,180.19,184.38,5203300,0.004931761443525362,187.33428571428573,187.55526315789476
2021-02-01,2021,2,1,Monday,05,2021-05,184.95,186.03,183.28,184.46,2812500,0.00043297605912173687,186.935,187.40050000000002
2021-02-02,2021,2,2,Tuesday,05,2021-05,184.61,188.63,184.22,186.09,2786000,0.008801028964994018,186.81857142857143,187.33809523809524
2021-02-03,2021,2,3,Wednesday,05,2021-05,184.84,186.29,184.46,185.16,3020700,-0.005005642684226874,186.60500000000002,187.23909090909092
2021-02-04,2021,2,4,Thursday,05,2021-05,186.3,188.17,185.12,187.21,2777500,0.011116009035805785,186.76500000000001,187.23782608695655
2021-02-05,2021,2,5,Friday,05,2021-05,188.6,190.01,188.08,188.59,2600200,0.007345013076157647,186.93428571428572,187.29416666666668
2021-02-08,2021,2,8,Monday,06,2021-06,188.55,188.95,186.27,187.7,2696200,-0.0047042755733593955,187.09214285714287,187.31040000000002
2021-02-09,2021,2,9,Tuesday,06,2021-06,188.14,191.78,187.87,191.61,3047300,0.020795767715695357,187.24142857142854,187.47576923076923
2021-02-10,2021,2,10,Wednesday,06,2021-06,192.4,192.79,189.68,190.2,3161600,-0.007315402553797035,187.29642857142858,187.57666666666665
2021-02-11,2021,2,11,Thursday,06,2021-06,190.33,190.56,188.43,190.09,2583600,-0.0006065683465986682,187.35285714285712,187.66642857142855
2021-02-12,2021,2,12,Friday,06,2021-06,189.85,190.47,188.95,189.76,2781200,-0.0017266504442332575,187.38857142857142,187.73862068965516
2021-02-16,2021,2,16,Tuesday,07,2021-07,190.18,192.46,189.7,190.76,2892900,0.00528299143721167,187.36642857142854,187.83933333333334
2021-02-17,2021,2,17,Wednesday,07,2021-07,189.81,190.64,188.63,189.36,3280000,-0.007347720766773813,187.775,187.88838709677418
2021-02-18,2021,2,18,Thursday,07,2021-07,189.22,191.5,188.65,191.12,2191000,0.009276005046262803,188.32071428571427,187.989375
