Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,RBLX,RBLX,RBLX,RBLX,RBLX,,,
2021-03-10,2021,3,10,Wednesday,10,2021-10,64.5,74.83,60.5,69.5,97069300,0.0,69.5,69.5
2021-03-11,2021,3,11,Thursday,10,2021-10,74.93,77.78,70.13,73.9,59629300,0.06330937447307772,71.7,71.7
2021-03-12,2021,3,12,Friday,10,2021-10,72.47,72.96,69.11,69.7,19714700,-0.05683361963349798,71.03333333333335,71.03333333333335
2021-03-15,2021,3,15,Monday,11,2021-11,70.02,74.06,66.25,72.15,19549800,0.03515071283942861,71.3125,71.3125
2021-03-16,2021,3,16,Tuesday,11,2021-11,73.73,78.0,73.18,77.0,30274400,0.06722104465072665,72.45,72.45
2021-03-17,2021,3,17,Wednesday,11,2021-11,76.03,79.1,74.89,76.79,10054100,-0.0027272608373072327,73.17333333333333,73.17333333333333
2021-03-18,2021,3,18,Thursday,11,2021-11,76.0,77.0,66.8,67.3,9627400,-0.12358377068140658,72.33428571428571,72.33428571428571
2021-03-19,2021,3,19,Friday,11,2021-11,69.47,72.7,68.08,70.5,6776500,0.04754824373159683,72.105,72.105
2021-03-22,2021,3,22,Monday,12,2021-12,71.81,72.49,69.54,70.0,4238500,-0.007092198581560294,71.87111111111112,71.87111111111112
2021-03-23,2021,3,23,Tuesday,12,2021-12,70.1,71.75,67.63,68.0,4456000,-0.02857142857142858,71.48400000000001,71.48400000000001
2021-03-24,2021,3,24,Wednesday,12,2021-12,69.97,70.0,64.01,64.5,5460000,-0.05147058823529416,70.84909090909092,70.84909090909092
2021-03-25,2021,3,25,Thursday,12,2021-12,62.01,69.85,60.69,67.85,6283000,0.05193796083908664,70.59916666666668,70.59916666666668
2021-03-26,2021,3,26,Friday,12,2021-12,67.89,71.2,64.77,70.97,4531200,0.04598382928147071,70.6276923076923,70.6276923076923
2021-03-29,2021,3,29,Monday,13,2021-13,69.0,69.09,66.51,67.03,4351600,-0.05551644883242424,70.37071428571429,70.37071428571429
2021-03-30,2021,3,30,Tuesday,13,2021-13,66.98,66.99,64.47,65.17,3394500,-0.02774877881880622,70.06142857142858,70.02400000000002
2021-03-31,2021,3,31,Wednesday,13,2021-13,65.5,67.19,64.57,64.83,4094900,-0.005217068397166846,69.41357142857143,69.699375
2021-04-01,2021,4,1,Thursday,13,2021-13,66.8,69.67,65.9,67.34,4063100,0.03871655770389948,69.24499999999999,69.56058823529412
2021-04-05,2021,4,5,Monday,14,2021-14,70.14,72.86,68.56,70.76,8609500,0.050787139654409064,69.14571428571428,69.62722222222222
2021-04-06,2021,4,6,Tuesday,14,2021-14,71.24,72.39,70.76,71.32,3915500,0.007914041007455186,68.74,69.7163157894737
2021-04-07,2021,4,7,Wednesday,14,2021-14,70.7,71.14,67.88,68.73,4424800,-0.036315147910447654,68.16428571428571,69.667
2021-04-08,2021,4,8,Thursday,14,2021-14,69.47,71.49,68.84,70.76,4244000,0.02953584577545465,68.41142857142857,69.71904761904761
